"seller","day_of_week","income"
Dirk Stringer,Monday   ,759341454
Michel DeFrance,Monday   ,479584921
Albert Ringer,Monday   ,392378038
Heather McBadden,Monday   ,293014643
Innes del Castillo,Monday   ,260992756
Abraham Bennet,Monday   ,231845241
Dean Straight,Monday   ,192550177
Sheryl Hunter,Monday   ,153301531
Michael O'Leary,Monday   ,138096278
Livia Karsen,Monday   ,132386625
Burt Gringlesby,Monday   ,118429815
Charlene Locksley,Monday   ,108450663
Reginald Blotchet-Halls,Monday   ,103178571
Johnson White,Monday   ,98560782
Marjorie Green,Monday   ,97539868
Sylvia Panteley,Monday   ,96399427
Cheryl Carson,Monday   ,77977657
Morningstar Greene,Monday   ,67381291
Anne Ringer,Monday   ,53386961
Meander Smith,Monday   ,52160238
Ann Dull,Monday   ,39656842
Stearns MacFeather,Monday   ,30778276
Dirk Stringer,Tuesday  ,734550038
Michel DeFrance,Tuesday  ,467420387
Albert Ringer,Tuesday  ,419021705
Innes del Castillo,Tuesday  ,285473369
Heather McBadden,Tuesday  ,267891418
Abraham Bennet,Tuesday  ,259058032
Dean Straight,Tuesday  ,183459092
Sheryl Hunter,Tuesday  ,163754751
Livia Karsen,Tuesday  ,145696078
Michael O'Leary,Tuesday  ,125258271
Burt Gringlesby,Tuesday  ,114454018
Marjorie Green,Tuesday  ,102488971
Charlene Locksley,Tuesday  ,102419646
Johnson White,Tuesday  ,100275590
Sylvia Panteley,Tuesday  ,99289901
Reginald Blotchet-Halls,Tuesday  ,89298154
Cheryl Carson,Tuesday  ,76905547
Morningstar Greene,Tuesday  ,67737441
Meander Smith,Tuesday  ,63913954
Anne Ringer,Tuesday  ,55417862
Ann Dull,Tuesday  ,38097808
Stearns MacFeather,Tuesday  ,31056506
Dirk Stringer,Wednesday,642376642
Michel DeFrance,Wednesday,439203901
Albert Ringer,Wednesday,403718425
Heather McBadden,Wednesday,249479672
Innes del Castillo,Wednesday,245730068
Abraham Bennet,Wednesday,214842815
Dean Straight,Wednesday,168092852
Livia Karsen,Wednesday,156662691
Sheryl Hunter,Wednesday,140290965
Michael O'Leary,Wednesday,134525041
Burt Gringlesby,Wednesday,119047498
Charlene Locksley,Wednesday,106731411
Marjorie Green,Wednesday,94949352
Johnson White,Wednesday,89036569
Sylvia Panteley,Wednesday,85876351
Reginald Blotchet-Halls,Wednesday,80548671
Cheryl Carson,Wednesday,66729907
Morningstar Greene,Wednesday,64838804
Meander Smith,Wednesday,49655899
Anne Ringer,Wednesday,46106241
Ann Dull,Wednesday,35589006
Stearns MacFeather,Wednesday,24953855
Dirk Stringer,Thursday ,693463721
Michel DeFrance,Thursday ,481154817
Albert Ringer,Thursday ,405676715
Heather McBadden,Thursday ,289587876
Innes del Castillo,Thursday ,247744631
Abraham Bennet,Thursday ,226133921
Dean Straight,Thursday ,182913508
Livia Karsen,Thursday ,168820566
Sheryl Hunter,Thursday ,148434253
Michael O'Leary,Thursday ,130193803
Burt Gringlesby,Thursday ,103250742
Charlene Locksley,Thursday ,102081558
Johnson White,Thursday ,91715665
Sylvia Panteley,Thursday ,91590683
Marjorie Green,Thursday ,90204716
Reginald Blotchet-Halls,Thursday ,89971578
Cheryl Carson,Thursday ,70730736
Morningstar Greene,Thursday ,61407062
Meander Smith,Thursday ,56688841
Anne Ringer,Thursday ,55678731
Ann Dull,Thursday ,36627442
Stearns MacFeather,Thursday ,22585497
Dirk Stringer,Friday   ,672023524
Michel DeFrance,Friday   ,473980679
Albert Ringer,Friday   ,357492149
Heather McBadden,Friday   ,245868794
Abraham Bennet,Friday   ,233935361
Innes del Castillo,Friday   ,231816498
Dean Straight,Friday   ,176048825
Livia Karsen,Friday   ,172939429
Sheryl Hunter,Friday   ,158669557
Michael O'Leary,Friday   ,142326764
Burt Gringlesby,Friday   ,109360163
Marjorie Green,Friday   ,99954937
Charlene Locksley,Friday   ,97761375
Reginald Blotchet-Halls,Friday   ,96796982
Johnson White,Friday   ,91757930
Sylvia Panteley,Friday   ,91390801
Cheryl Carson,Friday   ,80473505
Morningstar Greene,Friday   ,62929145
Meander Smith,Friday   ,53551958
Anne Ringer,Friday   ,51753352
Ann Dull,Friday   ,37433122
Stearns MacFeather,Friday   ,28022436
Dirk Stringer,Saturday ,724561952
Michel DeFrance,Saturday ,480574641
Albert Ringer,Saturday ,359055422
Heather McBadden,Saturday ,260891531
Innes del Castillo,Saturday ,245765313
Abraham Bennet,Saturday ,219357051
Dean Straight,Saturday ,176094744
Sheryl Hunter,Saturday ,143802265
Livia Karsen,Saturday ,142421335
Michael O'Leary,Saturday ,131118669
Burt Gringlesby,Saturday ,108212069
Charlene Locksley,Saturday ,100507642
Marjorie Green,Saturday ,95303143
Reginald Blotchet-Halls,Saturday ,92451664
Johnson White,Saturday ,91955960
Sylvia Panteley,Saturday ,87097890
Cheryl Carson,Saturday ,69224918
Morningstar Greene,Saturday ,64598715
Meander Smith,Saturday ,53094398
Anne Ringer,Saturday ,48579238
